phrase,prompt
I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache
"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain
I'm not feeling good I get infection wound,Infected wound
I'm feeling nauseous,Stomach ache
my left side aches much,Internal pain
Hearing any loud sounds makes my ear aches,Ear ache
He was discovered to have an open wound.,Open wound
When i get up i see my skin vague,Skin issue
I was playing soccer and I twisted my ankle,Injury from sports
I have a feeling like my whole body is complaining,Joint pain
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain
I have a blurry vision after my head was hit yesterday.,Blurry vision
i am having problems seeing things feel like a cloud on my eyes everything is blurry,Blurry vision
I had a cold the last time I travelled by plane and I still have a discomfort in my ears.,Ear ache
red flushes accompanied with itchy,Skin issue
"It started as a tinnitus, but today the pain is throbbing and unbearable.",Ear ache
"i have whooping cough with excess mucous, need mucolytic.",Cough
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy
I feel pain in my neck after waking up,Neck pain
"after playing football, i have muscle pain with my both legs.",Muscle pain
My lungs feel heavy like they are filled with mucus,Cough
My back is hurting so much.,Back pain
I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.,Neck pain
I have a headache almost every day,Head ache
I notice a lot more hair coming out than usual when I brush my hair,Hair falling out
My hair always falls out and i have lost a lot of hair lately,Hair falling out
I feel sad like hurt or pain,Emotional pain
My shoulder aches when I try to lift five pounds.,Shoulder pain
My muscles feel tired,Body feels weak
i hit the ground when trying to shoot a basketball,Injury from sports
I feel like I can hardly breathe unless I get what's in my lungs out,Cough
My foot is hurting so much.,Foot ache
"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath
Sometimes my body feels week without reason,Body feels weak
In highschool I had a lot of acne.,Acne
I feel abdominal pain,Stomach ache
I feel cold when the night comes,Feeling cold
cramps along the whole abdomen,Stomach ache
"My body feels weak although I eat a lot, why?",Body feels weak
Everything looks like beeing in a smoky area.,Blurry vision
"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back.",Injury from sports
I feel pain in the knee when walking,Knee pain
Have severe cold and cough,Cough
I had internal pain and gases when I ate indian spicy food yesterday,Internal pain
The feeling of coughing increases in winter's reach,Cough
After an hard working day I have foot ache,Foot ache
I have a foot ache after running 500m with my running shoes.,Foot ache
I feel a great amount of pressure on the sides of my neck,Shoulder pain
I feel emotionally crushed,Emotional pain
When I stand I feel dizzy I do not know why,Feeling dizzy
My body aches on the inside between my hips and shoulders.,Internal pain
My ear hurts when I touch it.,Ear ache
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound
I can't do anything I feel a weak in my body,Body feels weak
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain
"i can't walk, my knee hurts me",Knee pain
I feel pain in the knee,Knee pain
"after playing football, i have muscle pain with my both legs.",Muscle pain
My kee is swallowing which indicates i have an infected wound,Infected wound
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound
i have severe dry cough,Cough
My back is hurting so much.,Back pain
My knee hurts when I play squash,Knee pain
I feel dizzy whenever I stand up.,Feeling dizzy
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound
I'm having a hard time hearing.,Ear ache
"My hair is coming out in chunks, especially when I wash it",Hair falling out
When I stand up too quick my vision is blurry.,Blurry vision
"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache
i can't breath because of  Cough,Cough
I feel a great amount of pressure of my head.,Head ache
When I remember her I feel down,Emotional pain
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I have a dull ache in  my lower back which makes it difficult to move,Back pain
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound
When I wake up in the morning I feel a soreness in my body,Muscle pain
I have pain in my stomach,Stomach ache
Even though I'm an adult my face keeps breaking out in pimples.,Acne
I can hardly move my neck.  It hurts.,Neck pain
I had a sharp pain in my stomach,Stomach ache
I get an ear ache when it is cold,Ear ache
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy
i have a strong shoulder pain,Shoulder pain
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache
The pain in my back dwwls like a sharp knife in it,Back pain
I made lots and lots of analysis to know the main reason for my stomach ache,Stomach ache
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain
When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports
I get clusters of pimples on my face that never go away.,Acne
I feel a pain in my back when I sit on a chair for long.,Back pain
I have a cold and it makes me cough alot,Cough
I can't move my head up and down.,Neck pain
There is a sharp pain in my bicep,Muscle pain
There is a sharp pain in my calve.,Muscle pain
I feel deep Tingling when I touch Acne followed by bad sensation,Acne
When I walk it's hard to breath.,Hard to breath
When I go to sleep I am feeling cold,Feeling cold
i can't move my shoulder because of pain,Shoulder pain
Pain in the large neck,Neck pain
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound
These red spots on my cheeks are new. What is it?,Skin issue
My head is spinning when I get up.,Feeling dizzy
I feel like the world goes round and round,Feeling dizzy
I toppled over while jumping to catch the ball.,Injury from sports
The arches of my feet hurt when I wear heels,Foot ache
My foot had been aching since last Tuesday.,Foot ache
standing less than five minutes and my back start to ache,Back pain
When I remember her I feel down,Emotional pain
"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",Ear ache
I've got a hard time to breath- am I having a heart attack?,Hard to breath
All my body is in a bad case and i need a good treatment,Joint pain
i have a great pain in my foot like thrombing pain with relaxing my pain releif,Foot ache
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound
I have a skin rash after eating an ice-cream.,Skin issue
my temperature dropped and my body get synosed,Feeling cold
I get an ear ache when it is cold,Ear ache
